date,O3_sc,NO2_sc,CO_sc,SO2_sc,SZA_sc,T_sc,RH_sc,WS_sc,WD_sc,HONO_sc
2016-05-20 19:00,0.447685253,0.349390053,0.537724202,0.564957738,0.721027985,0.638545104,0.449451315,0.026314632,0.780505784,0.169360942
2016-05-20 20:00,0.337381858,0.418830153,0.57873943,0.619049436,0.80656921,0.55830583,0.505543321,0.013739887,0.11089878,0.409484396
2016-05-20 21:00,0.15145348,0.672609738,0.651370562,0.490164278,0.878297615,0.519458196,0.528525985,0.030337671,0.256548484,0.613266635
2016-05-20 22:00,0.023607369,1,0.65735195,0.287821259,0.930406116,0.445682068,0.533739906,0.020796694,0.979208966,0.458261974
2016-05-20 23:00,0.027189176,0.798352622,0.481328263,0.084142642,0.956752692,0.406628163,0.422572327,0.024907668,0.825488164,0.422021715
2016-05-21 0:00,0.119949854,0.4274841,0.312140448,0.050084906,0.953339827,0.389713972,0.32343253,0.010486282,0.224712517,0.226720656
2016-05-21 1:00,0.128782266,0.299030341,0.317267352,0.030718742,0.920725945,0.362211221,0.375722326,0.012794583,0.70214831,0.152408308
2016-05-21 2:00,0.070048761,0.393285372,0.302741125,0.030718742,0.86365153,0.300811331,0.433169575,0.016158108,0.66067905,0.391002552
2016-05-21 3:00,0.051976913,0.412991346,0.294196286,0.033389937,0.788349964,0.24580583,0.509176125,0.017015477,0.035036767,0.48951452
2016-05-21 4:00,0.019944156,0.455531227,0.299323189,0.028715346,0.700365977,0.217409241,0.562162366,0.027215969,0.862417496,0.466768347
2016-05-21 5:00,0.046115773,0.369930143,0.283087995,0.02671195,0.603893962,0.181380638,0.598471587,0.014817095,0.175536723,0.274077213
2016-05-21 6:00,0.01965924,0.391200083,0.339483933,0.067447673,0.501986401,0.307068207,0.539386752,0.02169803,0.302452205,0.438532051
2016-05-21 7:00,0.057756648,0.403920342,0.322394255,0.076129057,0.397017844,0.449257426,0.374367083,0.081801794,0.999052342,0.333439303
2016-05-21 8:00,0.132119859,0.34647065,0.254890026,0.044742516,0.291262724,0.566487899,0.223520997,0.146346289,0.578880966,0.24095981
2016-05-21 9:00,0.168589173,0.308622667,0.242927251,0.057430692,0.187915896,0.652709021,0.189018766,0.09697063,0.562015006,0.233190862
2016-05-21 10:00,0.218001838,0.242206235,0.230109992,0.0534239,0.094077843,0.728341584,0.157998758,0.103499824,0.512839696,0.185934337
2016-05-21 11:00,0.331602123,0.082473152,0.180549925,0.077464654,0.031136138,0.77420242,0.088128447,0.20827471,0.20071041,0.170004961
2016-05-21 12:00,0.367460902,0.019497446,0.151497472,0.052088302,0.040401213,0.797029703,0.082425132,0.182443721,0.949222425,NA
2016-05-21 13:00,0.383619739,0.013971432,0.12928089,0.036061132,0.113534607,0.82020077,0.092965912,0.189016884,0.000105667,0.070470931
2016-05-21 14:00,0.390417033,0.011677614,0.104500857,0.051420503,0.210538909,0.840209021,0.068816233,0.208912241,0.00591398,0.298423956
2016-05-21 15:00,0.402505634,0.012094672,0.126717438,0.034725535,0.314765686,0.843921892,0.091290681,0.145071228,0.144528368,0.146824744
2016-05-21 16:00,0.3760491,0.024919195,0.211311346,0.060769686,0.42048812,0.801292629,0.194835018,0.073865635,0.918536045,0.153934959
2016-05-21 17:00,0.335713062,0.048482953,0.248054154,0.088817233,0.524857836,0.742161716,0.272309748,0.041923145,0.772576711,0.177354673
2016-05-21 18:00,0.298877426,0.070274215,0.257453477,0.158936101,0.625634758,0.66769802,0.334632108,0.023083011,0.095799271,0.150871598
2016-05-21 19:00,0.255773627,0.228756125,0.283087995,0.099502013,0.720330822,0.594953245,0.343874113,8.79E-05,0.000131501,0.154203798
2016-05-21 20:00,0.028410247,0.777291211,0.512089684,0.104844403,0.805669217,0.509763476,0.43700943,0,0.771458878,0.412500506
2016-05-21 21:00,0.003907427,0.824835784,0.510380716,0.123542768,0.87715547,0.460327283,0.443973874,0.004440732,0.54170277,0.442623166
2016-05-21 22:00,0.003826022,0.813575227,0.540287654,0.110854592,0.929005146,0.405390539,0.495811922,0.010816039,0.10550223,0.547200193
2016-05-21 23:00,0.004924986,0.765405067,0.566776655,0.124878365,0.955123055,0.369361936,0.550962787,0.028754836,0.874707041,0.610070605
2016-05-22 0:00,0.006023949,0.681055156,0.541996621,0.131556353,0.951565245,0.346878438,0.60409961,0.028095322,0.025132555,0.668249567
2016-05-22 1:00,0.007326425,0.597956418,0.489018619,0.124210566,0.918910313,0.321644665,0.633820844,0.011387619,0.288902681,0.57834577
2016-05-22 2:00,0.00809977,0.552184339,0.490727586,0.134227548,0.861874031,0.30479923,0.662130367,0.00661713,0.639630274,0.587165766
2016-05-22 3:00,0.020106966,0.472109269,0.489873102,0.124878365,0.786649761,0.270489549,0.703804092,0.021785965,0.808073839,0.638267505
2016-05-22 4:00,0.0275962,0.355020332,0.49585449,0.144244529,0.69875187,0.257838284,0.736913434,0.011079845,0.664168643,0.714692068
2016-05-22 5:00,0.040295336,0.273068502,0.469365488,0.129552956,0.602357449,0.240649065,0.764997083,0.018774182,0.064724156,0.629599233
2016-05-22 6:00,0.038952158,0.246898134,0.489873102,0.183644655,0.500509156,0.319306931,0.692472754,0.003517411,0.073127231,0.591848589
2016-05-22 7:00,0.108797407,0.230007298,0.446294423,0.152925913,0.395573255,0.469815731,0.47397745,0.051925783,0.39706355,0.291341809
2016-05-22 8:00,0.152186122,0.236784485,0.407842647,0.128885158,0.289812083,0.574394939,0.376362302,0.085539043,0.906618737,0.159581573
2016-05-22 9:00,0.191504602,0.234907726,0.351446708,0.14891912,0.186398496,0.652158966,0.334688576,0.133485754,0.896695695,0.160119787
2016-05-22 10:00,0.291428894,0.133249922,0.346319805,0.158268302,0.092405283,0.725178768,0.279537712,0.095805487,0.898894494,0.24944877
2016-05-22 11:00,0.38398606,0.080179335,0.317267352,0.150254717,0.029352819,0.786509901,0.234946449,0.107984523,0.074405519,0.111516864
2016-05-22 12:00,0.438649329,0.028255656,0.326666675,0.130888554,0.03912437,0.822951045,0.21079677,0.153337144,0.528973485,0.136919554
2016-05-22 13:00,0.412721926,0.01063497,0.27539764,0.110854592,0.112837492,0.874312431,0.156587046,0.157558037,0.141367862,0.11757215
2016-05-22 14:00,0.409140118,0.005004692,0.289069382,0.096830818,0.21010516,0.896039604,0.167617219,0.149643862,0.33293158,0.072498993
2016-05-22 15:00,0.446708396,0,0.300177673,0.104176604,0.314419763,0.887720022,0.202815894,0.111567886,0.003579686,0.194351634
2016-05-22 16:00,0.442475351,0.019184652,0.267707284,0.100169812,0.420138364,0.881188119,0.129764527,0.234369504,0.709674619,0.137835899
2016-05-22 17:00,0.459081913,0.029611094,0.285651447,0.112857988,0.524445505,0.839933993,0.16695842,0.106335737,0.751286296,NA
